"Big Gay Brunch Club Chicago Event at Taverna 750",41.94554,-87.64906,60657,5.0,Event
"Coachella 2012",33.67816,-116.23388,92201,5.0,Event
"Bonnaroo 2012",35.46555,-86.06967,37355,4.0,Event
"Somerville Winter Farmer's Market",42.38954,-71.10607,02143,2.0,Event
"Johnny D's Blues Jam",42.39722,-71.12299,02144,3.0,Event
"South by South West (SXSW)",30.2627,-97.74477,78701,4.0,Event
"Boston City Council Meeting",42.3604,-71.05798,02203,4.0,Event
"Country/Western Dancing for GLBTQ",42.3327,-71.07238,02119,5.0,Event
"Austin City Limits Festival",30.26399,-97.76964,78704,4.0,Event
"South End Athletic Company Run Club ",42.34193,-71.07543,02118,2.0,Event
"Vincent Crotty's Boston Nocturnes ",42.3426,-71.06544,02118,5.0,Event
"Unplugged & Uncensored: An Insider's Guide to the Music Industry",42.3524,-71.15769,02135,3.0,Event
"2012 Sasquatch Music Festival",47.09595,-119.98265,98848,0.0,Event
"The Edwardian World's Faire",37.78774,-122.42104,94109,0.0,Event
"Queer and Country Line Dancing",45.56264,-122.66665,97217,0.0,Event
"Mamma Mia! ",41.88461,-87.62875,60601,4.0,Event
"Queer Social Club  ",41.89759,-87.69193,60622,4.0,Event
"Financial Guidance for the LGBT community",33.01953,-117.08274,92127,0.0,Event
"San Diego LGBT Pride Community Advisory Council Information Session",32.74901,-117.14799,92103,0.0,Event
"Women's Coming Out Discussion Group",32.74901,-117.14799,92103,0.0,Event
"Suzanne Westenhoefer @ Triple Door in Seattle",47.60867,-122.33731,98101,5.0,Event
"Hide & Seek Exhibit at Tacoma Art Museum",47.24779,-122.43653,98402,5.0,Event
"OUT IN CHICAGO",41.91134,-87.63171,60614,5.0,Event
"Outfest ",34.06173,-118.29988,90010,0.0,Event
"FKA: AMERICAN GLADIATORS",43.36704,-85.08499,48888,4.0,Event
"FKA: AMERICAN GLADIATORS",43.36704,-85.08499,48888,4.0,Event
"Chances Dances @ The Hideout",41.9137,-87.66247,60642,5.0,Event
"Bayard Rustin at 100: Rediscovering a Forgotten Hero",41.91134,-87.63171,60614,5.0,Event
"Family Equality Council 2012 LA Awards Dinner",34.13801,-118.35324,91602,5.0,Event
"First Friday",33.46067,-112.0737,85004,3.0,Event
"Dignity San Diego (Faith Based) for LGBT",32.75354,-117.1671,92103,0.0,Event
"Pride Night at the Ontario Reign",34.07254,-117.56606,91764,5.0,Event
"Boston Living Center - Dinnerfest 2012 Party & Auction",42.34843,-71.07318,02116,5.0,Event
"RuPaul viewing party at the Midnight Sun",37.76086,-122.43434,94114,4.0,Event
"Freedom to Marry Reception ",42.51031,-96.4328,51103,3.0,Event
"Gender EDGE ",39.9422,-75.15412,19147,5.0,Event
"Chicago Takes Off! Game On 2012",41.91844,-87.63739,60614,5.0,Event
"ON THE RED CARPET: COH OSCAR PARTY",41.91844,-87.63739,60614,4.0,Event
"Central Texas Democratic Forum",30.27308,-97.74419,78701,4.0,Event
"Hillcrest Town Council Meeting",32.74983,-117.15338,92103,0.0,Event
"Film Out Monthly Screening - Were the World Mine",32.74805,-117.13113,92104,0.0,Event
"11th Annual Philadelphia Trans-Health Conference",39.9539,-75.15894,19107,5.0,Event
"Chi Chi LaRue Live at OCH ",30.2666,-97.74536,78701,1.0,Event
"Michael&#039;s Bar",42.38157,-71.08585,02145,0.0,Place
"Carmen's Place",40.15034,-74.97605,19053,4.916666666666667,Place
"Eddie&#039;s Auto Center Inc.",40.13643,-74.99605,19053,0.0,Place
"Dr. Larry S. Hahn, D.O.",40.14461,-74.99273,19053,0.0,Place
"Dolphin Swim Club of Lower Southampton",40.16498,-74.99527,19053,0.0,Place
"Neighborhood Market",42.40287,-71.12679,02144,0.0,Place
"True Grounds",42.40005,-71.11254,02155,4.5,Place
"Johnnie&#039;s Foodmaster",42.40691,-71.13261,02144,-4.833333333333333,Place
"GoingClear HQ",42.36996,-71.07642,02141,0.0,Place
"Eastside Yoga",30.26921,-97.72898,78702,1.3333333333333333,Place
"888 Pan Asian Restaurant",30.2294,-97.72962,78741,2.0,Place
"Point Defiance Zoo & Aquarium",47.30674,-122.51908,98407,2.0,Place
"Pacific Science Center and IMAX Theater",47.61979,-122.35287,98109,,Place
"Need a Down-Home Neighborhood alternative to Bougie Starbucks in Austin, TX?",30.35393,-97.72755,78757,,Place
"Fire And Ice Restaurant, South Lake Tahoe, CA",38.95723,-119.94203,96150,2.1666666666666665,Place
"Cafe Monte Alto",43.75876,-71.68762,03264,0.6666666666666666,Place
"de Young Museum",37.77147,-122.46868,94118,3.0,Place
"The Iron Bear",30.27014,-97.74331,78701,,Place
"Rusty's Austin",30.26779,-97.73853,78701,4.0,Place
"Oilcan Harry's",30.2666,-97.74536,78701,4.333333333333333,Place
"Taverna 750",41.94554,-87.64906,60657,4.5,Place
"Rain on 4th",30.26666,-97.74556,78701,,Place
"Chick-fil-A",33.61294,-84.49963,30349,0.0,Place
"Taverna",30.26512,-97.74628,78701,2.0,Place
"The Woodland",30.24644,-97.75107,78704,3.3333333333333335,Place
"Scarlet",41.9425,-87.64942,60657,,Place
"Anna's Taqueria ",42.39496,-71.12174,02144,2.8333333333333335,Place
"BoConcept",30.26555,-97.74808,78701,3.0,Place
